onset	duration	trial_type	correct
0.0212	20	3	0
20.0036	2	4	1
26.0013	2	4	0
36.0075	2	4	0
41.0056	2	4	1
47.0033	2	4	1
52.0013	2	4	1
59.0087	2	4	0
63.0071	2	4	1
70.0045	2	4	1
76.0022	2	4	1
82.0099	2	4	1
89.0072	2	4	1
93.0057	2	4	1
100.003	2	4	0
105.0011	2	4	1
115.0072	2	4	0
120.0057	2	2	1
125.0036	2	2	1
129.002	2	2	1
136.0093	2	2	1
142.007	2	2	1
147.0051	2	2	1
159.0105	2	2	0
166.0078	2	2	1
170.0062	20	3	0
190.0085	2	1	1
197.0059	2	1	1
209.0013	2	1	1
213.0097	2	1	0
218.0078	2	1	0
224.0055	2	1	1
229.0036	2	1	0
236.0009	2	1	1
240.0095	2	2	1
247.0068	2	2	0
260.0018	2	2	1
265.0099	2	2	1
269.0084	2	2	1
275.0061	2	2	0
280.0042	2	2	1
286.0019	2	2	1
290.0103	2	1	1
295.0084	2	1	1
299.0068	2	1	1
306.0041	2	1	0
310.0026	2	1	1
315.0107	2	1	1
327.0061	2	1	1
334.0034	2	1	0
340.0011	20	3	0
