onset	duration	trial_type	correct
0.0262	20	3	0
20.0086	2	4	1
27.006	2	4	1
33.0037	2	4	1
38.0018	2	4	1
42.0103	2	4	1
48.008	2	4	1
61.0031	2	4	1
65.0016	2	4	1
70.0097	2	4	1
77.0071	2	4	1
83.0048	2	4	1
87.0033	2	4	1
94.0106	2	4	1
98.0091	2	4	1
110.0046	2	4	0
115.0027	2	4	1
120.0012	2	2	1
125.0089	2	2	1
131.0067	2	2	1
138.004	2	2	1
149.0099	2	2	1
153.0083	2	2	1
160.0057	2	2	1
166.0034	2	2	1
170.0018	20	3	0
190.0043	2	1	1
197.0016	2	1	1
202.0097	2	1	1
212.0059	2	1	1
219.0033	2	1	1
223.0018	2	1	0
229.0095	2	1	1
234.0076	2	1	1
240.0054	2	2	1
247.0028	2	2	1
251.0012	2	2	0
258.0086	2	2	1
268.0048	2	2	1
273.0029	2	2	1
279.0106	2	2	1
284.0087	2	2	1
290.0064	2	1	1
297.0038	2	1	0
303.0015	2	1	1
309.0092	2	1	1
320.005	2	1	1
324.0035	2	1	1
329.0016	2	1	1
336.009	2	1	1
340.0075	20	3	0
