onset	duration	trial_type	correct
0.0265	20	3	0
20.0064	2	1	0
27.0063	2	1	0
33.0063	2	1	0
38.0062	2	1	0
43.0062	2	1	0
47.0062	2	1	0
54.0061	2	1	0
66.0061	2	1	0
70.006	2	1	0
77.006	2	1	0
89.0059	2	1	0
94.0059	2	1	0
99.0058	2	1	0
103.0058	2	1	0
110.0058	2	1	0
114.0057	2	1	0
120.0057	2	4	0
127.0057	2	4	0
133.0056	2	4	0
137.0056	2	4	0
142.0056	2	4	0
146.0055	2	4	0
159.0054	2	4	0
164.0054	2	4	0
170.0054	20	3	0
190.0057	2	2	0
195.0053	2	2	0
199.0052	2	2	0
211.0052	2	2	0
218.0051	2	2	0
224.0051	2	2	0
228.0051	2	2	0
233.005	2	2	0
240.0049	2	4	0
245.0049	2	4	0
251.0048	2	4	0
255.0048	2	4	0
262.0048	2	4	0
266.0047	2	4	0
271.0047	2	4	0
284.0046	2	4	0
290.0046	2	2	0
295.0046	2	2	0
305.0046	2	2	0
309.0045	2	2	0
316.0045	2	2	0
322.0044	2	2	0
328.0044	2	2	0
335.0043	2	2	0
340.0043	20	3	0
