onset	duration	trial_type	correct
0.0218	20	3	0
20.0017	2	4	0
27.0016	2	4	0
33.0016	2	4	0
38.0015	2	4	0
42.0015	2	4	0
48.0015	2	4	0
61.0014	2	4	0
65.0014	2	4	0
70.0013	2	4	0
77.0013	2	4	0
83.0012	2	4	0
87.0012	2	4	0
94.0012	2	4	0
98.0011	2	4	0
110.0011	2	4	0
115.001	2	4	0
120.0014	2	2	0
125.001	2	2	0
131.001	2	2	0
138.001	2	2	0
149.0009	2	2	0
153.0009	2	2	0
160.0008	2	2	0
166.0008	2	2	0
170.0107	20	3	0
190.0106	2	1	0
197.0105	2	1	0
202.0105	2	1	0
212.0104	2	1	0
219.0104	2	1	0
223.0103	2	1	0
229.0103	2	1	0
234.0103	2	1	0
240.0103	2	2	0
247.0102	2	2	0
251.0102	2	2	0
258.0102	2	2	0
268.0101	2	2	0
273.0101	2	2	0
279.01	2	2	0
284.01	2	2	0
290.0099	2	1	0
297.0099	2	1	0
303.0098	2	1	0
309.0098	2	1	0
320.0097	2	1	0
324.0097	2	1	0
329.0096	2	1	0
336.0096	2	1	0
340.0096	20	3	0
