onset	duration	trial_type	correct
0.0283	20	3	0
20.0082	2	4	1
27.0082	2	4	1
33.0081	2	4	1
38.0081	2	4	1
42.0081	2	4	1
48.0081	2	4	1
61.0081	2	4	1
65.0081	2	4	1
70.008	2	4	1
77.008	2	4	1
83.0079	2	4	1
87.008	2	4	1
94.008	2	4	1
98.008	2	4	1
110.0079	2	4	0
115.0079	2	4	1
120.0083	2	2	0
125.0079	2	2	0
131.0079	2	2	0
138.0079	2	2	1
149.0079	2	2	0
153.0079	2	2	1
160.0078	2	2	1
166.0078	2	2	1
170.0077	20	3	0
190.0077	2	1	1
197.0077	2	1	1
202.0076	2	1	1
212.0076	2	1	1
219.0076	2	1	0
223.0076	2	1	1
229.0076	2	1	1
234.0076	2	1	1
240.0076	2	2	0
247.0076	2	2	1
251.0076	2	2	0
258.0075	2	2	0
268.0075	2	2	1
273.0075	2	2	0
279.0075	2	2	0
284.0075	2	2	0
290.0074	2	1	1
297.0074	2	1	0
303.0073	2	1	1
309.0073	2	1	1
320.0073	2	1	1
324.0073	2	1	1
329.0073	2	1	1
336.0072	2	1	1
340.0072	20	3	0
