onset	duration	trial_type	correct
0.0213	20	3	0
20.0038	2	1	1
27.0012	2	1	1
33.0089	2	1	1
38.0071	2	1	1
43.0052	2	1	0
47.0037	2	1	1
54.0011	2	1	1
66.0066	2	1	1
70.0051	2	1	1
77.0025	2	1	1
89.008	2	1	1
94.0061	2	1	1
99.0042	2	1	1
103.0028	2	1	1
110.0101	2	1	1
114.0086	2	1	1
120.0064	2	4	1
127.0038	2	4	1
133.0015	2	4	1
137.01	2	4	1
142.0082	2	4	1
146.0067	2	4	0
159.0018	2	4	1
164.0099	2	4	1
170.0077	20	3	0
190.0107	2	2	1
195.0084	2	2	1
199.0069	2	2	0
211.0024	2	2	1
218.0098	2	2	1
224.0076	2	2	1
228.0061	2	2	0
233.0042	2	2	1
240.0015	2	4	1
245.0097	2	4	1
251.0074	2	4	1
255.0059	2	4	1
262.0033	2	4	1
266.0018	2	4	1
271.0099	2	4	1
284.0051	2	4	1
290.0029	2	2	1
295.001	2	2	1
305.0073	2	2	1
309.0058	2	2	0
316.0032	2	2	1
322.0009	2	2	1
328.0087	2	2	1
335.0061	2	2	1
340.0041	20	3	0
