onset	duration	trial_type	correct
0.0303	20	3	0
20.0107	2	2	1
25.0103	2	2	0
37.0102	2	2	1
44.0102	2	2	1
51.0102	2	2	1
57.0101	2	2	1
62.0101	2	2	1
66.0101	2	2	0
70.0101	2	2	0
76.0101	2	2	1
83.01	2	2	1
87.01	2	2	1
98.01	2	2	1
104.0099	2	2	1
109.0099	2	2	1
113.0099	2	2	1
120.0098	2	1	1
124.0098	2	1	1
130.0098	2	1	1
137.0097	2	1	1
141.0097	2	1	1
146.0097	2	1	1
159.0096	2	1	1
165.0096	2	1	1
170.0096	20	3	0
190.0095	2	4	1
195.0095	2	4	1
205.0094	2	4	1
212.0094	2	4	1
216.0094	2	4	1
222.0094	2	4	1
227.0093	2	4	1
233.0093	2	4	1
240.0093	2	1	1
247.0092	2	1	0
252.0092	2	1	1
258.0092	2	1	1
265.0091	2	1	1
271.0091	2	1	1
281.009	2	1	1
286.009	2	1	1
290.009	2	4	1
297.009	2	4	1
301.009	2	4	1
312.009	2	4	1
316.0089	2	4	1
322.0089	2	4	1
329.0089	2	4	1
335.0089	2	4	1
340.0088	20	3	0
