onset	duration	trial_type	correct
0.0208	20	3	0
20.0107	2	1	0
27.0106	2	1	0
33.0106	2	1	0
38.0105	2	1	0
43.0105	2	1	1
47.0105	2	1	1
54.0104	2	1	1
66.0103	2	1	0
70.0103	2	1	0
77.0103	2	1	1
89.0102	2	1	0
94.0101	2	1	0
99.0101	2	1	0
103.0101	2	1	1
110.01	2	1	0
114.01	2	1	0
120.0099	2	4	1
127.0099	2	4	0
133.0098	2	4	0
137.0098	2	4	1
142.0098	2	4	0
146.0098	2	4	0
159.0097	2	4	1
164.0096	2	4	1
170.0096	20	3	0
190.0099	2	2	1
195.0095	2	2	0
199.0094	2	2	0
211.0093	2	2	1
218.0093	2	2	0
224.0092	2	2	0
228.0092	2	2	0
233.0092	2	2	1
240.0091	2	4	1
245.009	2	4	0
251.009	2	4	1
255.009	2	4	0
262.0089	2	4	1
266.0089	2	4	0
271.0088	2	4	0
284.0087	2	4	0
290.0088	2	2	1
295.0087	2	2	1
305.0087	2	2	0
309.0086	2	2	0
316.0086	2	2	0
322.0085	2	2	1
328.0085	2	2	0
335.0084	2	2	0
340.0083	20	3	0
